,link,category,location,id,date,countdates,counts
315,https://www.tesla.com/de_DE/careers/search/job/meister-instandhaltung-facilities-operations-m-w-d-gigafactory-berlin-76852,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76852.0,2020-11-18,,
147,https://www.tesla.com/de_DE/careers/search/job/instandhalter-fr-automatisierung-msr-facilities-operations-m-w-d-gigafactory-berlin-76857,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76857.0,2020-11-18,,
282,https://www.tesla.com/de_DE/careers/search/job/instandhalter-fr-lagerverwaltung-facilities-operations-m-w-d-gigafactory-berlin-brandenburg-76853,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76853.0,2020-11-18,,
128,https://www.tesla.com/de_DE/careers/search/job/electrical-engineer-elektroingenieur-fahrzeugendmontage-m-w-d-gigafactory-berlin-77078,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",77078.0,2020-11-17,,
314,https://www.tesla.com/de_DE/careers/search/job/ingenieur-gebudeinstandhaltung-facilities-maintenance-engineer-m-w-d-gigafactory-berlin-brandenburg-76947,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76947.0,2020-11-16,,
180,https://www.tesla.com/de_DE/careers/search/job/betriebsingenieur-facility-management-m-w-d-gigafactory-berlin-brandenburg-76946,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76946.0,2020-11-13,,
155,https://www.tesla.com/de_DE/careers/search/job/immigration-specialist-emea-m-w-d-gigafactory-berlin-brandenburg-76784,Legal & Government Affairs,"Grünheide (Gigafactory Berlin), Brandenburg",76784.0,2020-11-12,,
305,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-innenraum-m-w-d-gigafactory-berlin-brandenburg-76303,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76303.0,2020-11-12,,
265,https://www.tesla.com/de_DE/careers/search/job/projektingenieur-neuprodukteinfhrung-gieerei-rohbau-sitze-endmontage-m-w-d-gigafactory-berlin-76850,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76850.0,2020-11-12,,
245,https://www.tesla.com/de_DE/careers/search/job/meister-supervisor-logistik-m-w-d-gigafactory-berlin-76777,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76777.0,2020-11-11,,
149,https://www.tesla.com/de_DE/careers/search/job/bauleitung-abwasserbehandlung-process-wastewater-treatment-m-f-d-gigafactory-berlin-brandenburg-76658,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76658.0,2020-11-10,,
288,https://www.tesla.com/de_DE/careers/search/job/schichtleiter-meister-spritzguss-produktion-m-w-d-gigafactory-berlin-76529,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76529.0,2020-11-09,,
292,https://www.tesla.com/de_DE/careers/search/job/manufacturing-engineering-manager-cell-engineering-m-w-d-gigafactory-berlin-brandenburg-76416,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76416.0,2020-11-07,,
264,https://www.tesla.com/de_DE/careers/search/job/operational-leader-cells-m-w-d-gigafactory-berlin-brandenburg-76351,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76351.0,2020-11-06,,
164,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-exterior-m-w-d-gigafactory-berlin-brandenburg-76305,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76305.0,2020-11-06,,
318,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-fahrzeugakustik-nvh-dichtheitsprfung-m-w-d-gigafactory-berlin-brandenburg-76306,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76306.0,2020-11-06,,
286,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-inbetriebnahme-musterbau-und-neuprodukteinfhrung-m-w-d-gigafactory-berlin-brandenburg-76308,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76308.0,2020-11-06,,
172,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-farb-und-lacktechnik-m-w-d-gigafactory-berlin-brandenburg-76312,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76312.0,2020-11-06,,
218,https://www.tesla.com/de_DE/careers/search/job/construction-safety-specialist-sigeko-m-w-d-gigafactory-berlin-63773,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",63773.0,2020-11-06,,
